Epsilon,Accuracy_fixe_one,Number_fixe_one,Correct_One/Total_One
0.0,0.8779382250651265,23.333333333333332,0.8776849
0.01,0.8771543182288797,23.57777777777778,0.88501275
0.02,0.8771543182288797,23.57777777777778,0.88501275
0.03,0.8771543182288797,23.57777777777778,0.88501275
0.04,0.8771543182288797,23.57777777777778,0.88501275
0.05,0.8771543182288797,23.57777777777778,0.88501275
0.06,0.8771543182288797,23.57777777777778,0.88501275
0.07,0.8771543182288797,23.57777777777778,0.88501275
0.08,0.8771543182288797,23.57777777777778,0.88501275
0.09,0.8771543182288797,23.57777777777778,0.88501275
0.1,0.8771543182288797,23.57777777777778,0.88501275
0.11,0.8771543182288797,23.57777777777778,0.88501275
0.12,0.8771543182288797,23.57777777777778,0.88501275
0.13,0.8771543182288797,23.57777777777778,0.88501275
0.14,0.8771543182288797,23.57777777777778,0.88501275
0.15,0.8771543182288797,23.57777777777778,0.88501275
0.16,0.8771543182288797,23.57777777777778,0.88501275
0.17,0.8771543182288797,23.57777777777778,0.88501275
0.18,0.8771543182288797,23.57777777777778,0.88501275
0.19,0.8771543182288797,23.57777777777778,0.88501275
0.2,0.8771543182288797,23.57777777777778,0.88501275
0.21,0.8771543182288797,23.57777777777778,0.88501275
0.22,0.8771543182288797,23.57777777777778,0.88501275
0.23,0.8771543182288797,23.57777777777778,0.88501275
0.24,0.8771543182288797,23.57777777777778,0.88501275
0.25,0.8771543182288797,23.57777777777778,0.88501275
0.26,0.8771543182288797,23.57777777777778,0.88501275
0.27,0.8771543182288797,23.57777777777778,0.88501275
0.28,0.8771543182288797,23.57777777777778,0.88501275
0.29,0.8771543182288797,23.57777777777778,0.88501275
0.3,0.8771543182288797,23.57777777777778,0.88501275
0.4,0.8771543182288797,23.57777777777778,0.88501275
0.5,0.8771543182288797,23.57777777777778,0.88501275
